Date,Delhi,Kolkata,Mumbai,Chennai
21/09/2017,58.69,61.35,62.35,61.82
20/09/2017,58.79,61.45,62.45,61.92
19/09/2017,58.85,61.51,62.51,61.99
18/09/2017,58.91,61.57,62.58,62.05
17/09/2017,58.88,61.54,62.55,62.02
16/09/2017,58.84,61.5,62.5,61.98
15/09/2017,58.8,61.46,62.46,61.93
14/09/2017,58.74,61.4,62.4,61.87
13/09/2017,58.72,61.37,62.37,61.84
12/09/2017,58.72,61.37,62.37,61.84
11/09/2017,58.62,61.27,62.26,61.73
10/09/2017,58.37,61.02,62,61.46
09/09/2017,58.06,60.71,61.67,61.13
08/09/2017,57.78,60.44,61.38,60.84
07/09/2017,57.59,60.25,61.18,60.64
06/09/2017,57.46,60.11,61.03,60.49
05/09/2017,57.46,60.11,61.03,60.49
04/09/2017,57.38,60.03,60.95,60.41
03/09/2017,57.28,59.93,60.84,60.3
02/09/2017,57.21,59.87,60.77,60.23
01/09/2017,57.13,59.78,60.68,60.14
31/08/2017,57.05,59.71,60.6,60.06
30/08/2017,57.01,59.66,60.56,60.02
29/08/2017,57.02,59.67,60.56,60.02
28/08/2017,57.03,59.68,60.57,60.03
27/08/2017,57.03,59.69,60.58,60.04
26/08/2017,56.97,59.62,60.51,59.97
25/08/2017,57.02,59.67,60.57,60.02
24/08/2017,57.06,59.71,60.61,60.06
23/08/2017,57.05,59.7,60.6,60.05
22/08/2017,57.05,59.7,60.6,60.06
21/08/2017,57.01,59.66,60.55,60.01
20/08/2017,57.07,59.72,60.62,60.08
19/08/2017,57.19,59.84,60.74,60.2
18/08/2017,57.28,59.93,60.85,60.3
17/08/2017,57.39,60.04,60.96,60.42
16/08/2017,57.36,60.01,60.92,60.38
15/08/2017,57.3,59.95,60.86,60.32
14/08/2017,57.25,59.9,60.81,60.27
13/08/2017,57.24,59.9,60.8,60.26
12/08/2017,57.15,59.8,60.7,60.16
11/08/2017,56.98,59.63,60.52,59.98
10/08/2017,56.81,59.46,60.35,59.8
09/08/2017,56.78,59.44,60.32,59.77
08/08/2017,56.72,59.38,60.25,59.71
07/08/2017,56.61,59.26,60.13,59.59
06/08/2017,56.54,59.19,60.06,59.51
05/08/2017,56.33,58.98,59.83,59.28
04/08/2017,56.1,58.75,59.59,59.04
03/08/2017,55.85,58.5,59.32,58.77
02/08/2017,55.64,58.29,59.1,58.55
01/08/2017,55.58,58.23,59.04,58.49
31/07/2017,55.5,58.25,59.08,58.53
30/07/2017,55.31,58.05,58.87,58.32
29/07/2017,55.19,57.94,58.75,58.2
28/07/2017,55.03,57.77,58.58,58.02
27/07/2017,54.94,57.69,58.49,57.93
26/07/2017,54.95,57.69,58.49,57.94
25/07/2017,54.95,57.7,58.5,57.94
