Date,Delhi,Kolkata,Mumbai,Chennai
"August 01,2017",479.77,482.58,482.08,467.35
"July 11,2017",No Change,No Change,480.27,No Change
"July 01,2017",477.46,480.32,491.25,465.56
"June 01,2017",446.65,448.65,476.97,434.15
"May 01,2017",442.77,444.77,475.56,430.27
"April 01,2017",440.9,442.9,476.5,428.4
"March 01,2017",434.93,436.93,470.66,422.43
"February 01,2017",434.8,436.8,467.95,422.3
"January 01,2017",434.71,436.71,465.88,422.21
"December 01,2016",432.71,434.71,463.91,420.21
"November 01,2016",430.64,432.64,460.27,418.14
"October 28,2016",428.59,430.59,457.14,416.09
"October 01,2016",427.09,429.09,455.14,414.59
"September 01,2016",425.06,427.06,452.53,412.56
"August 16,2016",423.09,425.09,451.23,410.59
"August 01,2016",No Change,No Change,447.23,No Change
"July 01,2016",421.16,423.16,446.89,408.66
"June 01,2016",419.18,421.18,445.24,406.68
"May 17,2016",No Change,No Change,444.57,No Change
"May 01,2016",419.15,421.15,454.57,406.65
"April 09,2016",No Change,No Change,453.99,No Change
"April 01,2016",419.13,421.13,455.99,406.63
"March 01,2016",419.13,421.13,456.13,406.63
"February 01,2016",419.22,421.22,458.05,406.72
"January 01, 2016",419.33,421.33,460.65,406.83
"December 09, 2015",419.26,421.26,459.09,406.76
"December 01, 2015",417.82,419.82,457.67,405.32
"November 01, 2015",417.82,419.82,455.82,405.32
"October 01, 2015",417.82,419.82,454.99,405.32
"September 01, 2015",417.82,410.82,456.33,405.32
"August 01, 2015",417.82,419.82,457.1,405.32
"July 01, 2015",417.82,419.82,457.82,405.32
"June 01, 2015",417.82,419.82,458.23,405.32
"May 01, 2015",417.82,419.82,457.93,405.32
"April 01, 2015",417.82,419.82,458.07,405.32
"March 01, 2015",417.82,419.82,457.83,405.32
"February 01, 2015",417.82,419.82,457.68,405.32
"January 01, 2015",417.82,419.82,460.79,405.32
"December 01, 2014",417,419,452,404.5
"November 01, 2014",417,419,452,404.5
"October 23, 2014",417,419,452,404.5
"October 01, 2014",414,416,448.5,401
"September 01, 2014",414,416,448.5,401
"August 01, 2014",414,416,448.5,401
"July 01, 2014",414,416,448.5,401
"June 25, 2014",414,416,451.5,401
"June 01, 2014",414,416,451.5,401
"May 01, 2014",414,416,451.5,401
"April 01, 2014",414,416,451.5,401
"March 01, 2014",414,416,453,401
"February 01, 2014",414,416,453,401
"January 05, 2014",414,416,453,401
"January 01, 2014",414,416,444.5,401
"December 11, 2013",414,416,444.5,401
"December 01, 2013",410.5,412.5,441,398
"November 01, 2013",410.5,412.5,441,398
"October 01, 2013",410.5,412.5,441,398
"August 01, 2013",410.5,412.5,441,398
"July 01, 2013",410.5,412.5,441,398
"June 01, 2013",410.5,412.5,447.5,398
"May 23, 2013",410.5,412.5,447.5,398
"May 01, 2013",410.5,412.5,437.5,398
"April 01, 2013",410.5,412.5,437.5,398
"January 01, 2013",410.5,412.5,438.5,398
"October 09, 2012",410.5,412.5,435,398
"July 25, 2012",399,401,423,386.5
"June 25, 2011",399.26,405,398.45,393.5
"June 26, 2010",345.35,365.1,348.45,352.4
"January 01, 2010",281.2,328.7,313.45,315.95
"February 01, 2009",279.7,327.25,312.05,314.55
"January 29, 2009",279.7,327.05,312.05,314.55
"June 09, 2008",304.7,352.05,349.5,339.6
"June 09, 2008",304.7,352.05,349.5,339.6
"June 05, 2008",346.3,352.05,349.5,339.6
"March 01, 2007",294.75,300.5,298,288.1
"April 01, 2005",294.75,300.5,297.95,288.15
"November 05, 2004",281.6,309.65,291.85,288.15
"July 01, 2004",261.6,287.95,271.3,268.1
"June 16, 2004",261.6,287.95,271.3,268.1
"January 01, 2004",241.6,266.7,251,248.55
