open,high,low,close,date,x,y
12.49,12.65,12.47,12.56,2006-06-02T00:00:00,1149206400000,12.56
12.56,12.84,12.54,12.75,2006-07-03T00:00:00,1151884800000,12.75
12.7,12.75,12.61,12.68,2006-08-03T00:00:00,1154563200000,12.68
12.64,12.7,12.56,12.7,2006-09-01T00:00:00,1157068800000,12.7
12.65,13.49,12.35,13.47,2006-10-02T00:00:00,1159747200000,13.47
13.6,14,13.38,13.6,2006-11-02T00:00:00,1162425600000,13.6
13.5,13.77,13.31,13.71,2006-12-01T00:00:00,1164931200000,13.71
13.71,15.1,13.52,14.5,2007-01-02T00:00:00,1167696000000,14.5
14.5,15.04,14.35,14.56,2007-02-01T00:00:00,1170288000000,14.56
14.24,15.72,14.23,15.6,2007-03-02T00:00:00,1172793600000,15.6
15.73,16.1,15.65,16.1,2007-04-02T00:00:00,1175472000000,16.1
16.11,20.18,16.11,20.16,2007-05-01T00:00:00,1177977600000,20.16
20.08,20.71,20.01,20.1,2007-06-01T00:00:00,1180656000000,20.1
20.09,21.44,19.95,21.4,2007-07-02T00:00:00,1183334400000,21.4
21.4,21.4,19.7,20.22,2007-08-01T00:00:00,1185926400000,20.22
20.25,20.48,20.03,20.11,2007-09-04T00:00:00,1188864000000,20.11
20.15,20.17,18.1,18.63,2007-10-01T00:00:00,1191196800000,18.63
18.63,19.87,18.63,19.85,2007-11-01T00:00:00,1193875200000,19.85
19.85,20.55,19.85,20.49,2007-12-03T00:00:00,1196640000000,20.49
20.45,20.5,19.2,19.35,2008-01-02T00:00:00,1199232000000,19.35
16.99,18.4,16.82,18.19,2008-02-01T00:00:00,1201824000000,18.19
18.24,18.43,17.9,18.02,2008-03-03T00:00:00,1204502400000,18.02
18.02,18.02,16.51,16.72,2008-04-01T00:00:00,1207008000000,16.72
16.68,20.5,16.68,20.15,2008-05-01T00:00:00,1209600000000,20.15
20.15,20.41,20,20.27,2008-06-02T00:00:00,1212364800000,20.27
20.29,20.29,17.99,18.18,2008-07-01T00:00:00,1214870400000,18.18
18,18.1,17.1,17.28,2008-08-01T00:00:00,1217548800000,17.28
17.3,17.3,15.86,16.24,2008-09-02T00:00:00,1220313600000,16.24
16.23,17.13,15.3,15.46,2008-10-01T00:00:00,1222819200000,15.46
15.4,15.7,15.24,15.5,2008-11-03T00:00:00,1225670400000,15.5
15.49,15.62,14.95,15.14,2008-12-01T00:00:00,1228089600000,15.14
10.8,11.1,9.43,9.45,2009-01-02T00:00:00,1230854400000,9.45
9.43,10.3,9.24,10.23,2009-02-02T00:00:00,1233532800000,10.23
10.2,10.66,10.18,10.46,2009-03-02T00:00:00,1235952000000,10.46
10.46,11.05,10.45,10.77,2009-04-01T00:00:00,1238544000000,10.77
10.06,10.09,9.75,9.83,2009-05-01T00:00:00,1241136000000,9.83
9.83,10.04,9.8,9.93,2009-06-01T00:00:00,1243814400000,9.93
9.93,11.15,9.88,11.05,2009-07-01T00:00:00,1246406400000,11.05
11.07,11.3,10.86,11.22,2009-08-03T00:00:00,1249257600000,11.22
11.23,12.2,11.2,12.09,2009-09-01T00:00:00,1251763200000,12.09
12.14,13.95,12.09,13.93,2009-10-01T00:00:00,1254355200000,13.93
14,14.13,13.78,14.1,2009-11-02T00:00:00,1257120000000,14.1
14.08,14.95,14.06,14.22,2009-12-01T00:00:00,1259625600000,14.22
14.2,14.55,14.13,14.51,2010-01-04T00:00:00,1262563200000,14.51
14.51,14.51,14,14.28,2010-02-01T00:00:00,1264982400000,14.28
14.26,14.29,12.68,12.78,2010-03-01T00:00:00,1267401600000,12.78
